Tornado # in Year;Year;Month;Day;Time (CST);County;Damage Scale;Maximum Path Width (Yards);Path Length (Miles);Fatalities;Injuries;Location;
40;2000;12;16;1446;Etowah-Cherokee;F3;500;12.8;0;14;5.3 ENE Gadsden-3.4 SW Centre;
39;2000;12;16;1420;St. Clair;F2;200;8.5;0;2;5.5 SW Ashville-3.2 E Ashville;
38;2000;12;16;1329;Perry;F0;30;0.7;0;0;1.7 NW Suttle-1.4 N Suttle;
37;2000;12;16;1254;Tuscaloosa;F4;750;18.0;11;144;4.9 W Hull-2.9 ENE Cottondale;
36;2000;12;16;1238;Limestone;F2;60;4.8;0;0;S O'Neal-5 N Athens;
35;2000;12;16;1225;Lawrence-Limestone;F1;30;5.1;0;0;Courtland-Ripley;
34;2000;12;16;1100;Houston-Dale;F2;170;29.0;0;0;Wicksburg-Pinckard-Abbeville;
33;2000;12;16;1034;Geneva;F2;100;4.5;1;9;Devco-Bellwood;
32;2000;11;24;1040;Mobile;F0;200;0.2;0;0;Mobile Bates Field;
31;2000;11;9;0719;Pike;F1;70;1.9;0;0;4.4 NNE Troy-6.1 NE Troy;
30;2000;11;8;1848;Hale;F0;40;1.0;0;0;2.9 E Akron-3.4 E Akron;
29;2000;11;8;1245;Baldwin;F0;50;0.1;0;0;Elsanor;
28;2000;11;8;1150;Baldwin;F1;200;2.5;0;0;Fairhope;
27;2000;11;8;1125;Baldwin;F0;100;1.0;0;0;Fairhope;
26;2000;11;8;1105;Baldwin;F1;100;1.0;0;0;Foley;
25;2000;11;6;2130;Mobile;F2;300;1.5;0;2;5.3 SW Irvington-2.9 SW Irvington;
24;2000;4;24;0300;Mobile;F1;150;1.0;0;0;Mobile;
23;2000;4;3;1930;Coffee;F0;10;0.1;0;0;Enterprise;
22;2000;4;3;1323;Coosa;F0;30;1.0;0;0;2.7 SE Marble Valley-3.2 SSE Marble Valley;
21;2000;4;3;1253;Chilton;F0;40;1.0;0;0;1.7 S Jemison-1.6 SE Jemison;
20;2000;4;3;1209;Jefferson;F1;350;5.7;0;0;0.4 N Vestavia Hills-3.3 ESE Mountain Brook;
19;2000;4;3;1144;Jefferson;F0;40;3.0;0;0;3.2 NE Oak Grove-6.2 NE Oak Grove;
18;2000;4;3;1125;Choctaw;F1;200;11.0;0;0;Needham-Mt Sterling;
17;2000;4;3;1120;Tuscaloosa-Jefferson;F2;300;11.1;0;0;1.2 SW Kellerman-2.2 SSW Oak Grove;
16;2000;4;3;1039;Fayette;F1;50;3.0;0;1;7.8 NNE Bankston-10.3 NNE Bankston;
15;2000;4;2;2334;Calhoun-Cleburne;F2;100;1.9;1;6;2.9 ESE Piedmont-3.4 WSW Borden Springs;
14;2000;4;2;2051;Jefferson;F1;400;4.5;0;0;1.6 SW Forestdale- 2.7 NE Forestdale;
13;2000;3;19;1738;Montgomery;F0;20;0.4;0;0;1.8 SW Pike Road-1.4 SW Pike Road;
12;2000;3;19;1725;Montgomery;F1;60;3.3;0;0;4.2 ESE Snowdoun-7.5 ESE Snowdoun;
11;2000;3;10;2122;Jefferson;F1;200;1.5;0;0;1.2 E Hoover-2.2 E Hoover;
10;2000;3;10;2111;Perry-Bibb;F0;100;12.0;0;0;11.5 NE Heiberger-3.4 NE Lawley;
9;2000;3;10;2056;Perry;F0;100;7.0;0;0;5.9 W Heiberger-2.2 N Heiberger;
8;2000;3;10;2028;Tuscaloosa;F0;50;3.3;0;0;7.6 NE Northport-10.9 NE Northport;
7;2000;3;10;2015;Tuscaloosa;F0;60;1.8;0;0;1.5 N Fosters-2.5 NE Fosters;
6;2000;2;13;1542;Bullock;F0;50;1.0;0;0;1.0 NNW Fitzpatrick-1.7 NNE Fitzpatrick;
5;2000;2;13;1530;Montgomery-Bullock;F0;100;3.0;0;0;3.1 NNW Downing-3.1 SW Mitchell;
4;2000;2;13;1500;Montgomery;F1;300;11.4;0;0;1.5 SW Ada-10.1 NE Ada;
3;2000;1;9;2305;Marengo;F1;300;6.5;0;0;Dixons Mill-Surginer;
2;2000;1;9;1622;Bullock;F0;30;1.0;0;0;2.5 S Midway-2.8 SE Midway;
1;2000;1;9;1556;Montgomery;F0;20;0.1;0;1;6.0 SSW Montgomery;
55;2001;12;14;0348;Elmore;F0;30;0.1;0;0;0.3 E Kent;
54;2001;11;25;0030;Dale;F1;100;0.1;0;2;Ewell;
53;2001;11;25;0012;Dale;F1;100;2.0;0;25;2.2 SW Daleville-1 NE Daleville;
52;2001;11;24;2127;Pike;F1;75;11.8;0;0;3.9 S Spring Hill-0.7 S Brundidge;
51;2001;11;24;2042;Pike;F0;50;0.2;0;0;0.3 NW Ansley-0.4 NE Ansley;
50;2001;11;24;2030;Covington;F0;60;0.2;0;0;Rose Hill;
49;2001;11;24;1928;Covington;F0;20;0.1;0;0;River Falls;
48;2001;11;24;1910;Escambia;F0;20;0.1;0;0;Brewton;
47;2001;11;24;1830;Butler;F0;20;0.1;0;0;Garland;
46;2001;11;24;1742;Butler;F1;150;6.0;0;3;3.6 W McKenzie- 2 SE Georgiana;
45;2001;11;24;1710;Clay-Randolph;F1;300;6.1;0;0;4.1 NE Lineville-12.1 NW Wedowee;
44;2001;11;24;1708;Butler;F0;100;3.0;0;0;1.8 WSW Georgiana-2.3 N Georgiana;
43;2001;11;24;1642;Conecuh;F0;20;0.1;0;0;Evergreen;
42;2001;11;24;1603;Calhoun;F1;250;7.7;0;5;2.6 S Alexandria-1.8 W Jacksonville;
41;2001;11;24;1559;Talladega;F2;200;9.1;0;0;4.1 SE Winterboro-7.0 SE Talladega;
40;2001;11;24;1554;Autauga;F1;50;9.8;0;0;9.4 SW Pine Level-4.6 NW Pine Level;
39;2001;11;24;1542;Talladega;F2;400;3.1;0;15;3.6 W Sylacuaga-2.6 NW Sylacauga;
38;2001;11;24;1510;St. Clair;F2;100;4.5;0;2;0.5 SW Pell City-3.7 NE Pell City;
37;2001;11;24;1501;Cherokee;F2;200;8.2;2;4;2.7 SSW Sand Rock-5.5 NE Sand Rock;
36;2001;11;24;1425;Dekalb;F2;100;7.1;0;0;S Fyffe-SE Rainsville;
35;2001;11;24;1350;Madison;F2;300;2.6;0;0;4 SW New Hope-2 NW New Hope;
34;2001;11;24;1341;Marshall;F2;300;2.0;0;7;Union Grove;
33;2001;11;24;1331;Jefferson-St. Clair;F2;125;13.4;0;1;2.8 SW Argo-1.5 ENE St. Clair Springs;
32;2001;11;24;1319;Blount-Etowah;F4;500;10.1;0;22;2.9 SE Oneonta-1.0 N Altoona;
31;2001;11;24;1302;Cullman;F0;50;0.2;0;0;Goodhope;
30;2001;11;24;1300;Choctaw;F0;20;0.1;0;0;Toxey;
29;2001;11;24;1259;Cullman;F1;200;2.1;0;0;SW Vinemont-W Vinemont;
28;2001;11;24;1256;Marengo;F0;50;0.6;0;0;4.3 SE Myrtlewood-4.0 SE Myrtlewood;
27;2001;11;24;1237;Tuscaloosa;F0;30;0.2;0;0;6.1 E Abernant-6.3 E Abernant;
26;2001;11;24;1235;Choctaw;F0;20;0.1;0;0;Gilbertown;
25;2001;11;24;1234;Hale;F0;75;2.9;0;0;1.3 SW Cedarville-1.7 NW Cedarville;
24;2001;11;24;1210;Lawrence-Morgan;F2;300;4.9;0;2;6 N Five Points-SE Trinity;
23;2001;11;24;1145;Choctaw;F0;20;0.1;0;0;Butler;
22;2001;11;24;1139;Tuscaloosa;F1;75;2.0;0;0;5.8 SW Samantha-3.8 SW Samantha;
21;2001;11;24;1121;Marion-Winston;F2;70;1.9;0;13;8.4 NE Whitehouse-0.7 NE Haleyville;
20;2001;11;24;1102;Hale;F0;50;0.2;0;0;0.8 NE Moundville-0.6 NE Moundville;
19;2001;11;24;1055;Pickens-Lamar-Fayette-Walker;F3;300;38.9;2;1;5.7 SW Kennedy-1.0 S Carbon Hill;
18;2001;10;13;1345;Baldwin;F0;30;0.3;0;0;Spanish Fort;
17;2001;10;13;1338;Perry;F1;50;1.5;0;0;0.6 SW Uniontown-1.0 NNW Uniontown;
